@relation dataset-fixedxlsx

@attribute Case_no numeric
@attribute checking_status {0<=X<200,<0,'no checking',>=200}
@attribute credit_history {'existing paid','delayed previously','critical/other existing credit','no credits/all paid','all paid'}
@attribute purpose {radio/tv,furniture/equipment,'new car',business,'used car',education,'domestic appliance',repairs,retraining,other}
@attribute credit_amount numeric
@attribute saving_status {<100,500<=X<1000,'no known savings',100<=X<500,>=1000}
@attribute employment {1<=X<4,4<=X<7,>=7,<1,unemployed}
@attribute personal_status {'female div/dep/mar','male single','male mar/wid','male div/sep'}
@attribute age numeric
@attribute job {skilled}
@attribute class {bad,good}

@data
249,>=200,'existing paid',furniture/equipment,1925,<100,1<=X<4,'male single',26,skilled,good
250,'no checking','existing paid',radio/tv,433,<100,unemployed,'female div/dep/mar',22,skilled,bad
253,0<=X<200,'existing paid','new car',2150,<100,1<=X<4,'female div/dep/mar',24,skilled,bad
254,'no checking','delayed previously',furniture/equipment,4151,100<=X<500,1<=X<4,'male single',35,skilled,good
255,0<=X<200,'existing paid',furniture/equipment,2030,'no known savings',4<=X<7,'male single',24,skilled,good
258,<0,'all paid',radio/tv,2149,<100,1<=X<4,'male div/sep',29,skilled,bad
259,'no checking','existing paid','used car',3812,100<=X<500,<1,'female div/dep/mar',23,skilled,good
261,<0,'existing paid',furniture/equipment,1657,<100,1<=X<4,'male single',27,skilled,good
262,<0,'existing paid',radio/tv,1603,<100,>=7,'female div/dep/mar',55,skilled,good
266,0<=X<200,'existing paid',radio/tv,802,<100,>=7,'male single',37,skilled,bad
267,'no checking','critical/other existing credit',business,6304,'no known savings',>=7,'male single',36,skilled,good
268,'no checking','existing paid',radio/tv,1533,<100,<1,'female div/dep/mar',38,skilled,good
270,'no checking','existing paid',radio/tv,999,'no known savings',>=7,'male single',25,skilled,good
271,'no checking','existing paid','new car',2662,'no known savings',4<=X<7,'male single',32,skilled,good
272,'no checking','critical/other existing credit',furniture/equipment,1402,500<=X<1000,4<=X<7,'female div/dep/mar',37,skilled,good
274,0<=X<200,'existing paid',radio/tv,3060,<100,4<=X<7,'male single',28,skilled,bad
276,'no checking','existing paid',radio/tv,2697,<100,1<=X<4,'male single',32,skilled,good
277,'no checking','critical/other existing credit',radio/tv,2404,<100,1<=X<4,'female div/dep/mar',26,skilled,good
279,'no checking','existing paid',furniture/equipment,4611,<100,<1,'female div/dep/mar',32,skilled,bad
281,'no checking','critical/other existing credit','used car',3368,>=1000,>=7,'male single',23,skilled,good
282,'no checking','existing paid',furniture/equipment,1574,<100,1<=X<4,'male single',50,skilled,good
284,'no checking','critical/other existing credit',furniture/equipment,1520,'no known savings',>=7,'male single',63,skilled,good
285,0<=X<200,'critical/other existing credit','new car',3878,100<=X<500,<1,'male div/sep',37,skilled,good
287,<0,'existing paid','used car',4788,<100,4<=X<7,'male single',26,skilled,good
289,0<=X<200,'existing paid',radio/tv,1092,<100,1<=X<4,'female div/dep/mar',49,skilled,good
290,<0,'delayed previously',radio/tv,1024,<100,<1,'male mar/wid',48,skilled,bad
291,'no checking','existing paid',business,1076,<100,1<=X<4,'male mar/wid',26,skilled,good
294,>=200,'critical/other existing credit','used car',4796,<100,>=7,'male single',56,skilled,good
296,0<=X<200,'existing paid',furniture/equipment,9960,<100,<1,'female div/dep/mar',26,skilled,bad
297,'no checking','existing paid','used car',4675,'no known savings',<1,'female div/dep/mar',20,skilled,good
299,'no checking','existing paid',furniture/equipment,2515,<100,1<=X<4,'male single',43,skilled,good
300,0<=X<200,'critical/other existing credit',furniture/equipment,2745,>=1000,4<=X<7,'male single',32,skilled,good
302,0<=X<200,'no credits/all paid',radio/tv,3804,<100,1<=X<4,'female div/dep/mar',42,skilled,bad
304,<0,'critical/other existing credit','new car',1038,<100,4<=X<7,'male single',49,skilled,good
305,'no checking','critical/other existing credit','new car',10127,500<=X<1000,1<=X<4,'male single',1,skilled,bad
306,'no checking','existing paid',furniture/equipment,1543,>=1000,1<=X<4,'male div/sep',33,skilled,good
309,0<=X<200,'existing paid',furniture/equipment,1237,<100,1<=X<4,'female div/dep/mar',24,skilled,bad
312,'no checking','existing paid',furniture/equipment,5511,100<=X<500,1<=X<4,'male single',25,skilled,good
313,>=200,'existing paid',furniture/equipment,3749,<100,<1,'female div/dep/mar',26,skilled,good
316,<0,'all paid',furniture/equipment,2746,<100,>=7,'male single',31,skilled,bad
319,'no checking','critical/other existing credit',education,701,<100,1<=X<4,'male single',32,skilled,good
322,<0,'existing paid',radio/tv,1938,<100,<1,'male div/sep',32,skilled,bad
324,<0,'existing paid',furniture/equipment,2659,>=1000,1<=X<4,'male single',28,skilled,good
325,'no checking','critical/other existing credit','new car',1028,<100,1<=X<4,'female div/dep/mar',36,skilled,good
327,'no checking','critical/other existing credit',furniture/equipment,5801,'no known savings',>=7,'male single',49,skilled,good
328,'no checking','existing paid','new car',1525,>=1000,4<=X<7,'female div/dep/mar',34,skilled,good
329,>=200,'existing paid',radio/tv,4473,<100,>=7,'male single',31,skilled,good
330,0<=X<200,'existing paid',radio/tv,1068,<100,>=7,'male single',28,skilled,good
332,'no checking','critical/other existing credit',education,1864,100<=X<500,1<=X<4,'female div/dep/mar',30,skilled,bad
335,<0,'no credits/all paid',furniture/equipment,4110,<100,>=7,'male single',23,skilled,bad
338,<0,'existing paid','domestic appliance',1275,'no known savings',1<=X<4,'female div/dep/mar',24,skilled,bad
339,<0,'existing paid',furniture/equipment,4169,<100,1<=X<4,'male single',28,skilled,good
341,0<=X<200,'critical/other existing credit',education,5743,<100,<1,'female div/dep/mar',24,skilled,good
343,0<=X<200,'existing paid',radio/tv,3213,500<=X<1000,<1,'male mar/wid',25,skilled,good
347,0<=X<200,'critical/other existing credit',radio/tv,882,<100,<1,'male single',23,skilled,good
350,0<=X<200,'critical/other existing credit',education,1136,>=1000,>=7,'male single',32,skilled,bad
351,'no checking','existing paid','domestic appliance',1236,<100,<1,'female div/dep/mar',23,skilled,good
352,0<=X<200,'existing paid',furniture/equipment,959,<100,1<=X<4,'female div/dep/mar',29,skilled,bad
354,<0,'no credits/all paid',radio/tv,6199,<100,1<=X<4,'male single',28,skilled,bad
355,'no checking','existing paid',education,727,500<=X<1000,>=7,'male single',46,skilled,good
357,'no checking','critical/other existing credit',radio/tv,2331,'no known savings',>=7,'male single',49,skilled,good
359,'no checking','existing paid',radio/tv,776,<100,1<=X<4,'male mar/wid',28,skilled,good
360,<0,'existing paid',furniture/equipment,2406,<100,4<=X<7,'female div/dep/mar',23,skilled,bad
361,0<=X<200,'existing paid',education,1239,'no known savings',1<=X<4,'male single',61,skilled,good
363,>=200,'delayed previously','new car',2247,<100,1<=X<4,'female div/dep/mar',36,skilled,good
364,'no checking','existing paid',furniture/equipment,1766,<100,1<=X<4,'male mar/wid',21,skilled,good
366,'no checking','existing paid',business,1542,<100,4<=X<7,'male single',36,skilled,good
367,'no checking','critical/other existing credit','used car',3850,<100,4<=X<7,'male single',27,skilled,good
368,<0,'existing paid',furniture/equipment,3650,<100,<1,'female div/dep/mar',22,skilled,good
369,<0,'existing paid',furniture/equipment,3446,<100,>=7,'male single',42,skilled,bad
370,0<=X<200,'existing paid',furniture/equipment,3001,<100,4<=X<7,'female div/dep/mar',40,skilled,good
371,'no checking','existing paid','new car',3079,'no known savings',1<=X<4,'male single',36,skilled,good
372,'no checking','critical/other existing credit',radio/tv,6070,<100,>=7,'male single',33,skilled,good
373,'no checking','critical/other existing credit',furniture/equipment,2146,<100,<1,'female div/dep/mar',23,skilled,good
376,<0,'all paid',business,7685,<100,4<=X<7,'female div/dep/mar',37,skilled,bad
377,'no checking','delayed previously',radio/tv,2320,<100,unemployed,'male mar/wid',34,skilled,good
378,'no checking','delayed previously',radio/tv,846,'no known savings',>=7,'male single',36,skilled,good
381,<0,'existing paid',furniture/equipment,2212,'no known savings',4<=X<7,'male single',39,skilled,good
383,'no checking','existing paid','new car',1283,'no known savings',4<=X<7,'female div/dep/mar',25,skilled,good
384,>=200,'existing paid','new car',1330,<100,<1,'male single',26,skilled,good
386,'no checking','critical/other existing credit',radio/tv,2238,<100,1<=X<4,'female div/dep/mar',25,skilled,good
387,'no checking','existing paid',radio/tv,1126,'no known savings',<1,'female div/dep/mar',21,skilled,good
389,0<=X<200,'critical/other existing credit',business,2326,500<=X<1000,1<=X<4,'male single',27,skilled,good
390,'no checking','existing paid',business,1449,<100,4<=X<7,'female div/dep/mar',27,skilled,good
394,<0,'critical/other existing credit',radio/tv,1957,<100,4<=X<7,'female div/dep/mar',31,skilled,good
396,0<=X<200,'delayed previously',education,11760,100<=X<500,4<=X<7,'male single',32,skilled,good
398,<0,'critical/other existing credit',furniture/equipment,2348,<100,1<=X<4,'male mar/wid',46,skilled,good
399,0<=X<200,'existing paid','new car',1223,<100,>=7,'male div/sep',46,skilled,bad
401,'no checking','existing paid',radio/tv,1473,<100,<1,'male mar/wid',39,skilled,good
402,0<=X<200,'critical/other existing credit',business,1887,'no known savings',1<=X<4,'male mar/wid',28,skilled,good
403,'no checking','delayed previously',business,8648,<100,<1,'male single',27,skilled,bad
405,0<=X<200,'delayed previously','new car',2899,'no known savings',>=7,'male single',43,skilled,good
406,0<=X<200,'existing paid',radio/tv,2039,<100,<1,'male mar/wid',22,skilled,bad
407,'no checking','critical/other existing credit','used car',2197,'no known savings',4<=X<7,'male single',43,skilled,good
408,<0,'existing paid',radio/tv,1053,<100,<1,'male mar/wid',27,skilled,good
410,>=200,'critical/other existing credit','new car',939,500<=X<1000,4<=X<7,'male mar/wid',28,skilled,bad
411,0<=X<200,'existing paid',radio/tv,1967,<100,>=7,'female div/dep/mar',20,skilled,good
415,<0,'existing paid','new car',1381,'no known savings',1<=X<4,'female div/dep/mar',35,skilled,bad
416,'no checking','critical/other existing credit','used car',5842,<100,>=7,'male single',35,skilled,good
418,<0,'delayed previously',education,8471,'no known savings',1<=X<4,'female div/dep/mar',23,skilled,good
420,0<=X<200,'existing paid','new car',1042,'no known savings',1<=X<4,'female div/dep/mar',33,skilled,bad
421,'no checking','existing paid','new car',3186,>=1000,4<=X<7,'female div/dep/mar',20,skilled,good
422,0<=X<200,'existing paid','used car',2028,'no known savings',1<=X<4,'male single',30,skilled,good
425,0<=X<200,'existing paid',furniture/equipment,2762,'no known savings',>=7,'female div/dep/mar',25,skilled,bad
426,0<=X<200,'existing paid','used car',2779,<100,1<=X<4,'male mar/wid',21,skilled,good
427,'no checking','critical/other existing credit',radio/tv,2743,<100,>=7,'male single',29,skilled,good
428,'no checking','critical/other existing credit',radio/tv,1149,>=1000,1<=X<4,'male single',46,skilled,good
429,'no checking','existing paid',furniture/equipment,1313,<100,>=7,'male single',20,skilled,good
434,'no checking','critical/other existing credit',repairs,2058,<100,1<=X<4,'male div/sep',33,skilled,good
435,<0,'existing paid',furniture/equipment,2136,<100,1<=X<4,'male single',25,skilled,good
436,0<=X<200,'existing paid',radio/tv,1484,'no known savings',1<=X<4,'male mar/wid',25,skilled,bad
438,'no checking','critical/other existing credit','new car',1287,>=1000,>=7,'female div/dep/mar',37,skilled,good
442,<0,'existing paid',furniture/equipment,1620,<100,1<=X<4,'female div/dep/mar',30,skilled,good
443,0<=X<200,'delayed previously',other,2629,<100,1<=X<4,'male single',29,skilled,good
447,<0,'existing paid','new car',1842,<100,<1,'female div/dep/mar',34,skilled,bad
448,0<=X<200,'existing paid',radio/tv,2576,<100,1<=X<4,'male single',1,skilled,good
450,0<=X<200,'delayed previously',repairs,1512,>=1000,1<=X<4,'male mar/wid',61,skilled,bad
452,'no checking','existing paid',radio/tv,5180000,<100,1<=X<4,'female div/dep/mar',29,skilled,good
453,'no checking','no credits/all paid',furniture/equipment,2759,<100,>=7,'male single',34,skilled,good
455,<0,'existing paid','new car',4817,<100,4<=X<7,'male single',31,skilled,bad
457,<0,'critical/other existing credit','new car',3905,<100,1<=X<4,'male single',36,skilled,good
458,<0,'existing paid','used car',3386,<100,>=7,'male single',35,skilled,bad
459,<0,'existing paid','domestic appliance',343,<100,<1,'female div/dep/mar',27,skilled,good
460,'no checking','existing paid',radio/tv,4594,<100,<1,'male single',32,skilled,good
461,<0,'existing paid',furniture/equipment,3620,<100,1<=X<4,'male single',37,skilled,good
462,<0,'existing paid','new car',1721,<100,<1,'male single',36,skilled,good
464,0<=X<200,'existing paid',retraining,754,'no known savings',>=7,'male single',38,skilled,good
465,'no checking','existing paid',business,1950,<100,4<=X<7,'male single',34,skilled,good
466,<0,'existing paid','used car',2924,<100,1<=X<4,'male single',63,skilled,good
