"Group","Gender","Age","Wind.Direction","Height","Distance","Angle","Offset","Score.1","Score.2"
"N","M",70,"S",34.8059856239706,93.1146453450867,38.7784975208342,56,33,94
"N","M",41,"N",48.6205408144742,83.9834494774277,30.1228023320436,63,69,84
"V","F",27,"S",33.6928180297837,78.2418254829997,63.3347618021071,38,68,27
"E","M",52,"N",50.8012567656115,94.3281098936104,41.2002892047167,48,40,84
"P","M",77,"E",46.7400260362774,91.0962946823816,53.8923622481525,49,53,61
"N","F",85,"E",62.2379202740267,48.0783311172775,75.650177448988,75,30,63
"N","F",108,"N",37.486127066426,83.1017529766909,60.4584908857942,73,58,7
"P","F",28,"W",59.0431957161054,58.5869565785846,72.0048304647207,26,54,61
"V","F",50,"E",41.1656494457275,20.4030245052727,83.638575412333,34,67,52
"V","F",71,"S",44.1727487891912,94.3423855709893,41.2380472384393,35,78,2
"V","F",30,"N",48.3850546730682,40.1976711470398,78.1216934509575,32,85,98
"P","M",39,"N",74,60.2592317719935,71.3783123902977,53,39,88
"E","F",91,"N",50.6472440725192,90.4495015957638,54.5921826548874,52,60,48
"V","M",46,"N",43.5260804500431,91.4090516001071,53.5334030725062,44,69,76
"N","F",104,"S",30.3698452236131,57.6657011875705,72.3438471369445,76,42,96
"P","M",55,"N",67,76.464039431712,25.7199789583683,40,42,29
"N","M",104,"E",39.9768958101049,61.3306136894411,70.968976225704,32,32,70
"N","M",69,"W",38.7318687085062,94.7859905302722,42.7021337300539,42,29,41
"V","M",60,"N",63.6163425650448,86.9097678782828,57.7594922482967,55,76,14
"E","F",46,"W",64.5100400326774,60.8043944568305,71.1708255670965,58,38,52
"N","M",26,"W",61.9444519486278,95.0369473997117,45.5109324865043,69,63,62
"E","M",69,"S",61.3134216759354,70.1346702335852,22.6772180199623,63,57,18
"E","M",29,"E",32.7776556061581,71.2210354903236,66.830696053803,42,25,45
"N","M",47,"E",60.2955238996074,34.656095112667,79.7545406781137,58,41,51
"E","M",52,"E",33.4136688783765,22.0313689687082,83.2148220017552,37,60,52
"N","F",94,"E",42.8449366893619,91.4352056229093,36.4973011612892,76,60,66
"V","F",57,"W",48.8824466140941,94.4324767345251,48.5143228806555,33,79,47
"E","F",89,"N",38.7102747382596,45.2242891862493,13.4323865920305,49,56,29
"E","F",68,"W",53.1520242318511,23.2068727238775,7.09403021261096,60,35,41
"N","M",76,"W",43.9256051136181,39.3808393709848,11.6326025500894,53,54,37
"V","M",74,"W",41.6274820929393,83.6083397265382,29.8727660998702,61,69,38
"E","M",50,"W",38.3469480862841,93.5926099658732,39.6011296845973,40,34,50
"P","F",105,"E",29.0284034954384,89.2996797195232,55.7241039536893,27,56,70
"N","M",27,"S",44.2232531923801,94.0181402924685,49.542817864567,69,67,90
"V","F",96,"E",57.3024052437395,94.6193199852987,42.0651064254344,41,60,67
"P","M",87,"E",55.9689560877159,72.1186900056675,23.5844402387738,31,60,64
"N","M",86,"W",58.1509407740086,89.1840433951945,34.1686043329537,63,50,32
"P","F",34,"E",51.5933467159048,82.6600342925942,60.7416426762938,26,43,46
"V","M",43,"N",31.0203125765547,56.1824901192371,17.1189993433654,65,76,39
"P","F",29,"W",48.1437891004607,94.2159455703176,40.9157511591911,29,69,61
"P","M",98,"W",30.296634295024,88.102827717,33.2125725597143,36,45,26
"N","M",62,"N",37.5776477511972,85.6669830726535,58.6989174224436,46,69,65
"P","F",39,"W",43.9246979150921,47.8166593201636,14.2645674571395,25,46,55
"E","M",43,"S",38.4257553433999,56.0738641654831,72.9199340380728,43,32,63
"P","F",71,"E",40.3710326198488,64.3553160518985,69.7768779098988,25,66,59
"P","M",20,"E",53.140061898157,85.9972761765995,31.544351503253,36,38,42
"V","F",81,"S",49.6305367611349,90.4468011996185,35.4050025530159,41,83,25
"P","M",75,"N",68,87.873969502725,33.0199912376702,46,58,48
"V","F",99,"W",56.328652612865,23.8764687788295,82.728909663856,44,76,25
"E","F",36,"N",39.4934409707785,56.1201124113545,17.0966354757547,54,23,21
"P","F",49,"W",34.966206105426,93.6785835208662,39.7627937234938,27,43,51
"E","M",90,"N",39.1011209636927,42.3178698213895,12.5247385911644,49,54,9
"V","F",69,"S",55.8489371584728,35.2430829969401,10.414767023176,44,83,93
"V","F",66,"N",33.0185257541016,17.062161424146,84.493756107986,44,77,90
"N","M",92,"E",33.2179411211982,92.4265785079861,52.2435094974935,64,35,66
"V","M",72,"S",43.7293807957321,17.621258553125,84.3519355170429,57,79,80
"P","M",89,"S",32,91.5926973160174,53.3154106140137,41,36,10
"P","F",20,"S",32.8806379400194,71.9444195732646,66.4967813529074,16,59,81
"N","F",63,"E",56.585620851256,95.0032929309247,44.0334901027381,77,25,56
"E","F",105,"S",50.2600808469579,47.9281466211998,14.3008621037006,66,58,42
"P","M",20,"W",31.2516500866041,57.3445854829475,17.5389677844942,64,56,65
"E","M",66,"N",63.6627473877743,50.7605821880059,74.7621967643499,62,44,39
"N","F",69,"N",46.6837889058515,41.6935471102948,77.6669413596392,74,41,63
"P","M",39,"E",56.7771513704211,44.5225408253072,76.789136249572,33,54,48
"E","M",43,"S",51.46787540894,91.7071950557444,36.8234421126544,61,32,32
"V","M",25,"S",44.7712254179642,93.9205514251203,40.2472143433988,44,74,8
"N","F",19,"S",49.963322029449,44.4562688306639,13.1900232098997,71,69,62
"E","F",22,"N",60.8227827325463,80.4810137107686,27.9301515594125,48,40,15
"E","F",43,"E",36.1507321773097,41.6608544692912,77.6769476942718,66,51,49
"E","F",37,"W",48.7512565609068,81.2166042525222,61.633337456733,52,49,57
"N","M",28,"N",47.8609323985875,79.0771896118165,62.8733379021287,39,61,1
"V","M",47,"S",53.121885179542,33.3639819512246,80.1243556663394,50,68,55
"N","M",74,"E",44.3114349795505,38.2210413260327,11.2868100963533,33,55,60
"N","F",29,"S",44.4433307219297,94.4710726369068,41.5972735546529,70,21,9
"P","F",57,"S",48.456826060079,64.2542846721007,69.8176208883524,17,56,13
"E","M",100,"W",51.7057662177831,94.9265835446259,43.4289083071053,56,69,25
"V","F",38,"E",35.9639320187271,90.4494207837256,35.4077330976725,37,68,48
"E","F",97,"S",64.2214857824147,30.7481342556305,9.13863757625222,59,20,23
"E","M",94,"W",57.3664045864716,91.4307459414582,36.4920577593148,32,33,28
"V","M",82,"N",159.365164127434,17.1240058079054,84.4780937209725,55,61,68
"E","M",81,"W",35.3846250958741,83.3955802937724,60.2672326937318,31,38,35
"E","F",53,"N",159.135701366002,83.0964170267836,29.5380577072501,67,72,99
"V","F",41,"E",41.4381781928241,24.5925775928828,82.5386260822415,44,65,49
"E","M",75,"S",49.2089181048796,60.4959647092093,71.2884139083326,40,65,33
"N","M",93,"W",46.6617653295398,94.9176775090285,43.3732087351382,54,68,29
"P","M",55,"S",25,75.2493145877923,64.9000931717455,60,29,82
"E","F",42,"N",46.1360660754144,87.7368703825726,57.0939072407782,62,21,41
"V","F",83,"E",58.1299043595791,93.4118109352039,39.2760344780982,40,74,63
"V","F",51,"N",32.5960558149964,72.1096461444284,23.5802176222205,35,69,72
"P","M",30,"E",59.3236188162118,79.6153510577492,62.5696607492864,65,70,45
"V","M",30,"S",59.4866296499968,91.2581153327944,53.7084839865565,67,80,32
"P","F",24,"E",44.1460010046139,73.9648130125226,65.5354264564812,23,40,43
"N","M",33,"W",60.5565414521843,81.1514307275013,61.672473885119,41,24,59
"N","F",79,"W",61.9323404841125,69.9096926486396,22.5766606628895,73,56,35
"N","M",93,"W",31.9206777140498,35.2289851984708,10.4106910154223,66,70,29
"V","F",36,"S",33.6283365096897,89.6638258360326,75.5143768712878,42,67,50
"N","F",70,"W",56.8723142268136,18.4116489848455,5.84943141788244,70,21,40
"V","F",36,"W",38.7902028905228,42.5134936408863,12.5850323587656,42,71,57
"E","M",63,"S",42.2132485797629,91.0390259312062,53.9565328881145,33,43,73
"P","M",81,"S",35,86.2036807117274,58.3013678155839,36,63,37
"N","F",110,"N",46.7773972041905,19.5677323224937,83.854154907167,77,38,16
"P","M",21,"E",32.7774674659595,72.1401278007964,23.5944529622793,55,48,42
"N","M",67,"N",43.5254617733881,91.160839022328,53.8194795511663,42,41,19
"N","M",66,"E",55.8364338735119,25.8664455934136,7.80227039009333,45,21,57
"P","F",69,"S",45.8420879291371,94.7608457726012,47.4048044718802,27,67,70
"N","F",89,"W",43.1504156952724,34.1485942558348,79.9002595245838,76,60,31
"N","M",32,"S",60.1380055425689,78.4573319464596,26.7831572145224,54,42,55
"P","M",53,"S",37,65.4328294293683,69.3381061591208,45,54,43
"V","M",88,"W",57.1849165847525,26.4294053228938,7.95392202213407,56,69,31
"P","M",47,"S",23,84.4650313197154,59.5498925633729,65,44,77
"P","F",102,"W",53.3597979154438,29.9997112007661,8.9305423386395,17,69,24
"V","M",85,"W",52.847907721065,23.1478430567755,7.07846075296402,60,78,33
"N","M",20,"N",60.1944046281278,93.7055583420542,50.185444355011,54,39,35
"N","M",27,"W",61.579238387756,91.4306911255183,36.4919933304191,33,25,61
"N","F",37,"N",34.5967222666368,53.4088342207892,73.8586783409119,72,21,74
"P","F",35,"N",157.021957981633,15.3477194165577,5.07449923083186,18,62,52
"V","M",101,"S",55.1110224826261,94.7164665032061,47.5827640108764,51,90,58
"N","F",36,"E",39.6235401444137,91.7611285636027,53.1103285215795,76,57,47
"E","F",53,"S",55.0897140000015,15.929408304089,5.22045960649848,54,39,44
"V","F",68,"W",52.5716794533655,94.8453338112349,47.0231964252889,40,88,41
"N","M",51,"E",151.803803205956,59.3320178737539,71.7275072261691,41,64,52
"V","M",104,"W",31.0295243887231,64.3523878231451,20.221940279007,47,64,23
"V","M",63,"E",30.5152954841033,72.8804224320552,66.056864708662,71,61,56
"E","F",76,"N",37.2705094804987,73.6789391796117,65.6741678528488,57,50,53
"P","M",54,"W",39.6352073345333,86.1789173343039,31.6800280287862,61,34,48
"N","F",64,"N",45.5270817335695,95.0271469623309,44.3239373154938,78,58,61
"V","F",50,"S",45.968339079991,79.6474611040847,62.5513753853738,34,77,100
"N","M",45,"S",49.4840657189488,68.9767027376116,22.1643711440265,32,60,95
"N","M",109,"E",38.0638994304463,44.1776732213534,13.1025622412562,51,41,71
"P","M",77,"N",81,85.7829264546246,31.3859825581312,48,54,26
"E","M",28,"N",32.1226806500927,86.9730899106632,32.2902320325375,61,34,84
"E","F",46,"S",49.1341055706143,92.6900236631699,51.8701911717653,51,44,89
"N","M",48,"W",54.9022089485079,58.4167683996723,17.9322215169668,61,68,51
"N","M",104,"S",43.1140326531604,35.4442310937163,10.4729761183262,60,27,68
"V","M",65,"E",33.0894277365878,70.1069461404528,22.6648018322885,61,87,57
"E","M",90,"N",31.3791250539944,93.9800581306593,40.3741122595966,41,34,55
"P","F",36,"E",51.9686188707128,30.1185709113032,8.96351041272283,26,22,47
"P","M",33,"E",61.0145765021443,36.2321130744274,79.2980719357729,68,71,46
"V","F",110,"E",44.0063316756859,90.8308183003751,35.8139435015619,34,65,72
"P","F",62,"S",32.4661620566621,92.0260515293895,37.223177421838,28,72,21
"E","F",78,"W",57.1845570597798,87.8562166081204,33.0051816254854,61,17,36
"V","M",39,"S",59.0208247937262,24.4016791902055,82.5894455425441,59,84,91
"P","M",97,"S",35,63.9419980104831,69.943136125803,33,39,24
"P","M",70,"N",80,25.6113489715175,82.2662450559437,60,33,94
"N","F",27,"E",59.8907209672034,21.4205991396919,83.3743145503104,77,46,44
"V","F",38,"W",53.270282366313,94.7790247516582,47.3279830254614,37,67,56
"E","F",42,"W",37.1040515387431,38.5262069021981,78.6225499026477,54,44,54
"E","F",63,"E",34.6211006715894,25.5804627870106,82.2745321132243,55,47,56
"V","F",67,"N",49.7695487728342,34.8417767545213,10.2989270351827,44,82,34
"E","F",97,"W",41.8018729025498,58.5958174645677,72.0015490427613,49,51,27
"P","M",100,"S",36,73.3107408298077,65.8515031449497,41,67,41
"V","M",88,"E",39.3276629857719,63.5014807100093,70.1191239058971,47,81,64
"P","M",23,"E",52.4935499988496,43.9951175087728,13.0453814007342,34,65,43
"V","F",63,"N",57.9046293040738,70.9911891863959,66.9357292167842,37,62,2
"E","M",66,"S",55.350180786103,22.5568096141165,6.92292280495167,46,46,68
"P","M",73,"W",151.733701316407,75.0949118547531,64.9775314517319,50,67,39
"V","M",53,"S",42.5355349108577,71.814148188658,23.4427034109831,64,85,51
"N","M",71,"E",41.2832553843036,95.0415756473346,44.5895282551646,35,33,59
"V","F",88,"S",54.487341160886,93.6469196950958,39.7026793472469,33,83,97
"N","F",80,"W",35.5803611343727,90.658187401327,35.6279003433883,75,70,35
"V","F",63,"S",34.6935163671151,85.7758403816612,31.3807785697281,40,72,14
"E","M",19,"E",46.7868882510811,80.419497242371,27.8941514343023,55,55,41
"E","M",91,"S",53.9456822182983,54.2141751234307,73.5782521776855,38,66,79
"P","F",85,"S",38.7123982934281,90.407252159037,35.3638723120093,17,28,73
"V","F",33,"W",50.3775879628956,83.6217601964256,60.1183595694602,35,69,59
"N","M",59,"W",38.973356208764,92.7500926418527,51.7821933887899,33,31,45
"E","M",45,"N",35.0143808424473,42.6131700380075,77.384202927351,51,64,10
"V","M",79,"W",43.9062018208206,86.889624359012,32.2247304208577,65,84,35
"V","M",97,"E",49.6789457723498,19.0971668582129,6.024922542274,55,79,67
"V","F",49,"S",44.0342204300687,83.7132847460779,29.9423008039594,35,90,94
"N","F",26,"S",60.0639424175024,91.3069018704216,53.6522807739675,73,55,99
"N","F",77,"W",153.861421555746,91.4844425403244,36.5554071031511,75,49,37
"E","F",80,"N",30.690344591625,93.3764717758474,39.2146249487996,50,24,3
"E","M",25,"W",40.5344971660525,49.0980751054631,14.684352260083,57,62,63
"V","M",84,"S",45.5999106317759,19.9361218785737,83.7592255137861,48,71,25
"P","M",99,"N",81,25.0159904969826,82.4256621859968,63,65,74
"V","F",103,"E",62.2948723724112,85.7278349198787,58.6544242501259,42,78,69
"V","F",93,"S",49.3837309852242,88.7325301963158,56.2405247241259,41,71,63
"V","F",110,"W",32.3422369677573,33.0192724989134,9.77764133363962,38,70,20
"P","M",50,"W",32.4467415306717,51.4686647512328,15.4766752384603,39,63,50
"P","F",27,"N",63.2011927096173,94.7518034785545,42.5578840263188,19,57,28
"E","F",75,"W",38.4242231817916,25.5111939019415,7.70688908174634,65,52,37
"P","F",49,"E",46.4031162178144,53.1939022167032,73.9330599084496,19,67,51
"V","F",33,"W",43.0482927663252,90.9888421278147,54.0123891085386,41,66,59
"P","F",64,"E",63.0627393517643,94.6407652410437,47.8608906269073,25,31,56
"P","F",101,"W",59.3231793697923,95.0492001403139,45.1264800131321,16,35,25
"P","M",20,"E",62.0135658029467,42.6261332709823,12.6198002696037,60,42,42
"V","M",50,"S",61.2338810442016,16.1413571430985,84.7262237966061,59,83,54
"V","F",31,"S",44.1221239548177,90.1560952704706,54.8933358676732,41,69,91
"V","F",107,"N",60.4667509514838,67.0301650958055,68.6726994253695,39,76,10
"E","F",66,"S",63.6161894276738,65.9204939091582,69.1369037330151,57,32,10
"V","F",42,"E",39.1479312023148,90.0522315723665,54.9977681785822,42,69,49
"N","F",79,"S",46.4767055138946,15.1515978145561,84.9745924770832,72,44,36
"V","M",43,"E",42.3789115902036,19.4208613603848,6.10806288197637,40,69,49
"E","F",71,"E",50.8289783429354,86.4659473786783,58.1027116440237,50,58,59
"V","M",30,"W",53.8821932831779,94.8659495924731,43.0814046412706,53,86,60
"N","M",49,"E",32.3876447966322,54.6358159867135,73.4303302876651,68,55,51
"P","F",68,"E",47.8327722884715,93.8711008687986,49.8557164892554,28,51,58
"V","M",53,"E",53.6461333669722,41.3318842045374,77.7774665877223,55,71,53
"N","F",81,"N",33.470301810652,82.0458614021021,28.8729180581868,76,57,36
"E","F",64,"N",48.1846044091508,76.3070224039346,64.361290037632,60,17,16
"N","F",67,"E",60.7681126575917,36.947424095074,10.9111232496798,72,37,57
"V","F",92,"N",29.5983246648684,45.5193389645592,13.5259913466871,36,83,66
"P","M",71,"S",28,52.7330785289682,15.9081037156284,30,56,83
"P","M",94,"W",63.8819418335333,55.8793700959712,17.0104912854731,33,64,28
"V","M",33,"S",55.2077122451738,22.9266664751419,7.02018074691296,63,62,78
"E","M",84,"W",64.5513605521992,94.0908974971935,40.6202682666481,39,40,33
"N","M",106,"S",58.8335772259161,92.108719399524,37.3302143439651,70,22,29
"N","F",30,"N",60.5223759682849,33.5522159605348,80.0707239843905,73,38,28
"P","M",110,"N",78,37.4536562855424,11.0599517636001,40,36,68
"P","F",108,"W",57.5424430519342,93.8715499656917,49.8547915183008,28,62,21
"P","F",36,"N",35.751050285995,93.8767857333142,40.1560052298009,18,34,36
"P","F",80,"N",45.1800226373598,94.1605216649368,49.2177679762244,18,52,13
"V","F",38,"E",34.3747800569981,53.1257436566153,73.9566076546907,43,65,48
"V","F",18,"W",49.101004563272,92.5607099717651,52.0559053681791,38,75,66
"V","F",26,"W",41.8516829069704,82.6547616523874,60.7449918054044,43,67,62
"P","M",93,"E",61.5172985373065,83.2568060803259,29.6421395242214,53,23,66
"N","M",43,"N",32.1863507265225,84.0953655734312,59.8017799109221,52,34,76
"P","F",105,"W",55.8528245761991,94.6074540614813,47.9750493727624,25,46,23
"V","F",105,"E",59.7558661783114,94.3991295153129,41.3920352421701,40,84,70
"V","F",36,"N",57.0362716540694,92.416875068478,37.7431068196893,39,89,16
"N","F",20,"E",36.5818347809836,92.6980053118764,38.1414364650846,75,44,42
"E","F",48,"S",55.677887509577,94.9845243172837,46.1443398334086,48,44,44
"E","F",22,"W",56.0528288474306,64.1199501282923,69.8716906830668,66,26,64
"V","M",93,"W",31.4654067642987,78.3854125494693,63.2562797144055,48,68,29
"N","F",51,"S",49.5360837429762,83.8563290157702,30.0375998020172,71,63,40
"V","M",89,"N",45.2811574824154,21.2394656623822,6.57851269468665,64,63,65
"E","F",33,"E",49.6110162558034,88.4592139697043,33.5188972391188,65,30,46
"E","F",25,"N",39.6979398867115,84.5236188629942,30.4904299601912,52,36,74
"V","F",22,"W",43.9095643470064,38.2847273346103,11.3057059235871,37,89,64
"N","F",75,"S",37.4287607762963,60.0434529795438,71.4599875360727,70,32,39
"V","F",24,"W",32.7413753010333,86.8383264745012,32.184639275074,40,76,63
"V","M",37,"W",34.08585318923,63.2887117207041,70.2036855556071,52,81,57
"V","M",93,"E",32.6081696599722,84.0874083960189,30.1928452402353,60,81,66
"V","F",66,"N",40.1400049049407,29.74010065419,81.1413611657917,40,85,97
"V","F",31,"W",30.256063779816,41.0484759642794,12.1361828036606,34,67,59
"E","F",44,"N",153.253404698335,77.8783035504476,63.5319704562426,64,23,11
"P","M",100,"N",62,94.9088612715301,43.3198885247111,47,38,89
"N","M",26,"N",48.269745728001,27.6029419215716,8.27206565067172,38,56,88
"V","F",99,"E",60.3135420745239,88.9455722804825,56.0493689589202,32,65,68
"P","F",99,"S",53.7079130979255,94.5401658762495,48.1932244636118,20,64,90
"V","M",23,"E",49.6662213476375,82.3578276691373,29.0675348229706,44,85,43
"E","M",51,"N",49.0201930506155,50.9203266956068,74.708474650979,37,31,42
"P","M",45,"E",53.5338900191709,62.6241314086985,19.5339957624674,55,68,50
"N","M",77,"E",38.1354890810326,23.2740632936917,82.8882400505245,65,33,61
"E","M",58,"N",29.8681937083602,92.2495658706111,52.483894880861,39,64,67
"P","M",71,"E",49.4468089221045,61.7922206948447,19.2093895748258,35,59,59
"E","F",49,"E",54.8716893997043,67.0476915952607,21.3347054086626,55,54,51
"P","M",96,"N",70,63.8724256405949,20.0289870612323,38,66,42
"E","M",32,"S",48.3230395950377,25.353669950754,82.3353264480829,45,68,73
"N","F",23,"W",44.9218837907538,84.8873033504191,30.7432846352458,76,55,63
"E","M",97,"S",57.0614337418228,50.8158421937323,15.2563762106001,53,56,30
"P","F",89,"N",31.3160877861083,55.579199203963,16.9034518860281,23,66,13
"V","M",80,"N",39.7010968634859,49.610657391365,75.1460918225348,28,62,16
"P","M",87,"W",31.4701715661213,94.2753133941294,48.9362078346312,55,71,31
"N","F",77,"N",37.0324329119176,93.8030293193746,49.9939376860857,77,69,5
"E","F",81,"N",34.5759825799614,87.965287739742,33.0964608117938,61,40,75
"V","M",93,"E",55.3856879360974,94.6598394094391,47.7934229560196,30,82,66
"P","M",68,"S",27,15.1037492175952,84.9865604378283,35,60,75
"E","F",98,"W",60.1515479404479,73.2720497440665,65.8700504340231,59,62,26
"N","F",60,"S",61.1453452054411,90.3441317567634,54.7014104574919,72,38,71
"V","F",40,"S",29.7630427749828,82.1883957392066,28.9615435525775,44,69,46
"V","F",69,"W",51.9307219563052,73.4044925002264,65.8064929768443,40,62,41
"P","M",55,"E",37.5533704152331,43.1688591067934,12.7878467366099,48,34,53
"E","F",96,"E",43.0342597002164,93.7909228737747,39.9818785861135,61,61,67
"V","M",84,"E",31.3709959406406,83.9826633595197,30.1222739368677,31,78,63
"E","M",108,"E",45.4651757879183,77.7662068215656,26.40763964504,61,16,71
"V","F",33,"N",57.4567353930324,50.8448196879373,74.7338797710836,40,80,14
"N","F",109,"S",29.8399290172383,77.0064571818408,26.0033988207579,75,30,47
"V","F",106,"N",42.9706404348835,71.8924431054789,66.5209464915097,45,76,29
"N","M",53,"N",31.7683904021978,93.1179659577061,51.2161628715694,31,41,46
"N","M",96,"W",34.9035379597917,39.443490891197,78.3486158959568,59,69,27
"N","M",89,"S",44.335271846503,93.9183936257992,40.2426764369011,65,70,25
"V","F",45,"W",58.1101480294019,45.5531366716394,13.5367314703763,45,65,53
"P","F",21,"W",64.8409016039222,32.7214919505246,9.69319950789213,16,23,65
"N","M",59,"E",62.8083375431597,80.4681118499576,27.9225949570537,44,37,55
"N","F",75,"N",43.6208202634007,55.5074776366431,73.1220633536577,76,46,27
"P","M",89,"S",35,78.0826319774887,26.5786167606711,64,54,18
"E","F",63,"N",39.9159927088767,63.6273252348928,19.9310252442956,55,68,92
"N","F",98,"E",41.0107177607715,92.5277377217597,52.1024816483259,71,50,68
"P","F",68,"W",30.8786147432402,85.0198855393901,30.8365862444043,22,55,41
"E","M",55,"N",41.5133048221469,86.5368219734859,58.0485079810023,33,60,1
"V","F",49,"N",32.0024767406285,57.7250843839419,17.6778787001967,44,64,48
"V","M",77,"W",55.840517369099,48.9099960891217,14.622375369072,42,82,37
"N","F",52,"W",33.732044422999,93.7415592049224,50.1155464909971,75,53,49
"P","M",44,"N",63,71.2413983415897,23.1786335632205,67,41,12
"P","M",95,"S",38,94.330415425208,48.7936382927001,31,52,68
"V","M",82,"N",63.2961998470128,94.9135186547541,46.6521582566202,60,73,89
"N","M",32,"E",31.7387397298589,65.2185295964033,20.574001390487,40,41,46
"P","M",62,"N",65,64.1948391594911,20.1584377139807,48,34,76
"V","M",96,"E",43.9262166237459,77.7240482756046,26.3849782571197,54,74,67
"V","F",65,"E",30.4034642493352,67.6777877738637,68.3975264616311,36,60,57
"N","M",70,"E",44.4520046841353,94.137417427169,49.2721951566637,58,61,58
"E","F",102,"E",46.6940781529993,26.7613595429998,8.04363641887903,66,39,69
